name,address,website,phno,email
Anand Institute of Mathematics,"65-C,Ground FloorPrateek Market,Near Canara ,Bank,Munirka, Delhi, 110067",http://www.anandinstitute.org,"['9891879909', '9871906279', '011-26567268']",['anandinstituteofmaths@gmail.com']
Teachwell Institute,"Rohini-415, 4th floor Amba Tower, DC Chowk Complex, Sec-9, Rohini, Delhi, 110085",http://www.teachwell.co.in,"['9310380899', '7827880899', '9015557890']",['info@teachwell.co.in']
Guru Dronacharya Institute,"Centre 1- E-1/8, First Floor, Sector 7, Opp. M2K Multiplex, Rohinin, Delhi, 110085",http://www.gurudronacharya.org,"['9999103551', '011-47011648']","['info@gurudronacharya.org', 'gurudronacharya.2010@gmail.com']"
Clear Exam,"E-359, 2nd Floor, Nirman Vihar, Near Metro Station Gate No. 3, Delhi, 110092",http://clearexam.ac.in/,['9811560490'],"['http://clearexam.ac.in/', 'info@clearexam.ac.in']"
KCS Educate,"C-9, First Floor, New Krishna Park, Vikaspuri, Near Janakpuri West Metro Station, Delhi, 110059",https://www.facebook.com/kcseducate/,"['011-64722787', ' 64722788']","['http://www.kcseducate.in/', 'info@kcseducate.in']"
Nivedita Classes,"N- 16 , LGF , Near Allahabad Bank, Delhi, 110019",https://www.facebook.com/niveditaclasses.india,['9953635005'],"['http://www.niveditaclasses.com', 'info@niveditaclasses.com']"
Topchalks,"Level 2, Elegance, Mathura Road, Jasola, Delhi, 110025",http://www.topchalks.com/,"['9289678678', '011-40601405']",['info@topchalks.com']
Bhargav Tutorials,"Old Post Office Building, First and 2nd Floor, Opposite Police Station, Mehrauli, Delhi, 110030",http://bhargavtutorials.com,"['9711971595', '011-65197113']",['Info@bhargavtutorials.com']
Target Educare Pvt. Lmt.,"WZ 49/20, 1st and 2nd Floor, Bodella, Delhi, 110018",http://www.targeteducare.com,"['9223234567', '022 - 6525 4444']",['info@targeteducare.com']
Shilkapma Classes,"Near Dominos, F-14/11, Model Town Phase II, Model Town, Delhi, 110009",http://skmclasses.com/,"['9968066075', '8527576075', '011-47560108']",['infoskmclasses@gmail.com']
Oasis Educational Services,"Head Office: Oasis Bhawan, Local Shopping Complex, B-1, (Opp. Jal Board), Vasant Kunj, Delhi, 110070",http://oasiscare.com/,"['9560720559', '9971690971', '011-26124025', '011-26124026', '011-26124027']","['oasis.oes@gmail.com', 'info@oasiscare.com']"
Knowledge Horizon Classes,"F-3, First Floor, Mriglani Chowk, Dilshad Colony, Delhi, 110095",http://www.khclasses.co.in,"['011-43573884', ' 43573885']",['info@khclasses.co.in']
Nimbus Tutorials,"L-1A-564/15, Sangam Vihar, Delhi, 110062",http://www.nimbustutorial.com/,"['9971184411', '9436291291']","['nimbusacademydelhi@gmail.com', 'franchise@nimbusacademy.in']"
Sachdeva New P.T. College,"Defence Colony, B-85, Defence Colony, Delhi, 110024",http://www.sachdevacollege.com,"['9958897063', '9958897064']",[]
S.K. Tutorial,"Branch Office: Plot No. 52, First Floor, Pocket 16, Sector 24, Rohini, Delhi, 110085",http://www.sktutorial.com,"['9213752361', '9868099975', '9810378943', '011-65578963']","['info@sktutorial.com', 'info.sktutorial@gmail.com']"
Deep Institute,"2513, Basement, Hudson Lane, Beside HDFC Bank, Opp. Laxmi Dairy, GTB Nagar, Delhi, 110009",http://www.deepinstitute.co.in,"['9560402898', '9971954342', '011-47511310']","['inquiry@deepinstitute.co.in', 'sudhirdse1@gmail.com']"
Eureka Institute,"106, Third Floor, Opposite, GTB Nagar Metro Station, Gate No.1, Delhi, 110009, Delhi, 110009",http://eurekainstitute.co.in,"['9810084099', '9650084099', '9717084099', '', '011-27464073', ' 47058073']",['eurekainstitute@yahoo.co.in']
Engineers Classes,"487/12, Main Peeragarhi Chowk, Adjoining Aggrawal Sweets, Delhi, 110063",http://www.engineersclasses4competition.com,"['9810366022', '9818366022', '011-25046015']",[]
Nilayam Academy,"RZ-51, Indra Park, Uttam Nagar, Delhi, 110059",http://nilayamacademy.com/,['9717711116'],['nilayamacademy@gmail.com']
Agarwal Study Centre,"J-290, Saket, Delhi, 110017",http://www.agarwalstudycentre.com/index.php,"['011-29554321', '43151244']",['ascsje@gmail.com']
Sri Aadarsh Academy,"Central Zone- 55/2, Swaroop Park, Lajpath Nagar, Delhi, 110024",http://www.sriaadarshacademy.com/,['8115008016'],"['info@sriaadarshacademy.com', 'hr@sriaadarshacademy.com']"
Sirohi Classes,"458, Mandakini Enclave, Alaknanda, Delhi, 110019",http://sirohiclasses.com,"['9810252244', '9810252234', '9555552244', '9810272244']",['sirohisir@gmail.com']
Nam Institute of Professional Studies,"""1899-B , 2nd & 3rd Floor, South Ex Part -1, New Delhi, Delhi, 110049",http://www.namedu.org,"['9911757394', '9312871686', '011-24626548', '011-24626549']","['namipsdelhi@gmail.com', 'namipsgurgaon@gmail.com']"
Spark Academy,"C-17, Pocket 2, Sector 7, Dwarka, Delhi, 110075",https://www.facebook.com/sparkacademi/,['9386834970'],['https://www.sparkacademyonline.com/']
Excel IIT JEE Coaching,"1/1 East Patel Nagar,(At Patel Nagar Metro Station at Gate No:3), Delhi, 110008",http://www.exceliit.com/,"['9873503465', '9999780050']","['info@Exceliit.com', 'info@exceliit.com']"
Prashant Physics Classes,"61-B, PKT-A, Vikas Puri Ext., Outer Ring Road, Delhi, 110018",http://www.physicsclasses.in/,"['9990088009', '9312237121']","['prashantvibhav@gmail.com', 'info@physicsclasses.in']"
TestBag Academy,"A-17, Janakpuri Centre, Near Uttam Nagar Bus Terminal, Delhi, 110058",http://testbagacademy.com,"['8860429473', '9868386865', '011-45661918']","['jai@testbag.co.in', 'testbag@testbag.com']"
Aryan Classes,"Aryan Classes, new delhi, Delhi, 110016",http://www.aryanclasses.com,"['8802577528', '8587067721', '011-64591988']","['aryanclasses@gmail.com', 'info@aryanclasses.com']"
Nata Study Centre,"Plot No. C-916, First Floor, Ramphal Chowk Main Market, Sector 7, Dwarka, Delhi, 110075",http://www.natastudies.com,"['9899373775', '011-65425993']",['natastudiesdelhi@gmail.com']
Zcore Institute of Learning School,"B1 2nd Floor, Zcore Tower, Dwarka more Opposite Metro Pillar No. 789, Delhi, 110059",http://www.zcoreinstitute.com,"['9654884788', '011-64555550']",['iaao@zcoreinstitute.com']
Gyankunj Classes,"72/12, Mata Wali Gali, Vishwakarma Road, Pana Udhan Narela, Delhi, 110040",http://gyankunjinstitute.com/,['9810733484'],['battle@gyankunjinstitute.com']
Saraswati Chemistry Point,"Pitampura Centre- D.P. Market, Plot No. 5, 3rd Floor, Above Axis Bank, Pitampura, Delhi, 110034",http://www.saraswatichemistrypoint.com,"['9871621367', '9213145146', '9899899326', '9696500500', '9696400400', '011-27316087', '011-27316082', '011-49075027']",['info@saraswatichemistrypoint.com']
Actuation,"2590, Hudson Lane, Behind Khalsa College, Kingsway Campus, Delhi, 110009",http://www.actuation.co.in/,"['9266103333', '9899991800']",['info@actuation.co.in']
Sumit Coaching Centre,"9/13, Bada Bazar Road, Block 9, Old Rajinder Nagar, Delhi, 110060",http://www.sumitcoachingcentre.com/,['9811678111'],"['vermasumit01@gmail.com', 'info@sumitcoachingcentre.com']"
N.R.R. Institute,"Malviya Nagar Corner, Opp.'S' Block Panchsheel Park, Delhi, 110017",http://www.nrrinstitute.net/,"['7042555441', '7042555442', '011-64995890', ' 64995891', ' 41745094', ' 41745095', ' 40501953']",['careerinfinity_4u@yahoo.co.in']
Axis Tutorials,"Corporate Office- 1-B, First Floor, Pusa Road, Karol Bagh, Metro Station, Delhi, 110060",http://www.axistutorials.in,"['9810227964', '9810227969', '011-45138664']",['info@axistutorials.co.in']
Satish Goyal Physics Classes,"DIS Classes J-1, DDA Flats, Alaknanda Market, Kalkaji, Delhi, 110019",http://www.satishgoyalphysics.com,['9711289192'],"['satish.goyal707@gmail.com', 'satishgoyalphysics@gmail.com']"
Fountain International Coaching Institute,"7/C, Taimoor Nagar, New Friends Colony, Delhi, 110065",http://www.fountaininstitute.in,"['9971725308', '9971725495', '41081111']","['info@fountaininstitute.in', 'mumbai@fountaininstitute.in']"
Unnati Classes,"M-99, Block M Saket, Delhi, 110017",http://unnatiedu.com/,"['9958628632', '9990071199']",['info@unnatiedu.com']
Apex Education,"301-303 Third Floor Aggrawal Tower Market Sector – 5 Dwarka, Delhi, 110075",http://apexeducation.co.in/,"['9811661073', '9312322989', '011-68888102']","['info@apexeducation.co.in', 'apex265@gmail.com']"
Keshaw Classes,"5-A 11028/9 WEA Sat Nagar Karol Bagh, Delhi, 110005",http://www.keshawclasses.com/index.html,"['9910915514', '9953150192', '011-45660510']",['keshawclasses@gmail.com']
Satyam Tutorials,"L-39-B, Saket, Delhi, 110017",http://satyamtutorials.com/,"['9811123584', '9811474746', '9911352949', '9911406642', '011-65681231']",[]
Mohanty Classes,"B-1, Vasant Kunj, Delhi, 110070",http://www.mohantyclasses.com,"['9971649020', '011-46012886']",['mohantyclasses@gmail.com']
Zenith Education Centre,"Branch Offices- Opp. Police Chowki, Shaheen, Bagh, Jamia Nagar, Delhi, 110025",http://www.zec.co.in/,"['9810507053', '9891350707']",[]
Catalyst Institute,"Flat No. 167, Milansar Appartments, Paschim Vihar, Near Peeragarhi, Delhi, 110087",http://www.catalystinstitutes.com,"['7838331008', '078-38-33-1008']",['catalystinstitutes@gmail.com']
Ayushman Institute,"401, Rishabh Corporate Tower, Karka Rdooma Community Centre, Delhi, 110092",http://www.ayushmaninstitute.com,"['9810056842', '9818539775', '011-22374437']",['info@ayushmaninstitute.com']
Simplified Physics,"3rd Floor, Amba Tower, D C Chowk, Sector 9, Sector 9, Rohini, Delhi, 110085",http://www.simplifiedphysics.in,"['9810661895', '9891459902']",['simplifiedphysics.info@gmail.com']
Study Innovations,"1/8, Jangpura Extension, Delhi, 110014",http://www.studyinnovations.com,"['9868025442', '9871605362', '011-65870197']",['hr@studyinnovations.com']
Pyramid Classes,"H-36 B, Kalkaji, Delhi, 110019",http://pyramidclasses.eduwizards.in,"['8527363749', '011-64669969', ' 26228900', ' 40601840']",['info@pyramidclasses.com']
Creative Career,"Head Office- 585, J.P. Complex, First Floor, Bank Street, Munirka, Nearest Metro Connectivity, Hauz Khas Metro Station, Delhi, 110067",http://www.creativecareer.in,"['9313415509', '9560247511', '011-41407511']",['info.creativecareer@gmail.com']
Swastika Classes,"H–30, Bengali Sweets Road, South Extension Part- I,, Delhi, 110049",http://www.swastikaclasses.com/,"['9212128506', '9953805258']",['classesdelhi@gmail.com']
Topper's Academy,"Plot No. 85, Gali No. 2, Friends Enclave, Nangloi, Delhi, 110086",,['9899166803'],['rajatjain496@gmail.com']
Vidyanjali Education Private Limited,"23, New Market, Malviya Nagar Near C.C.D, Delhi, 110003",http://www.vidyanjalieducation.net/,[],[]
Arene Academy,"D-17, Basement, Near Vijay Chowk, Laxmi Nagar, Delhi, 110092",http://www.areneacademy.com,"['9871713129', '9871712577', '', '', '']","['info@hometuitionpoint.in', 'support@areneacademy.com']"
Bansal Tutorials,"#65, Kalu Sarai, Sarv Priya Vihar, Hauz Khas, Delhi, 110016",http://www.bansaltutorials.com,"['9560190336', '011-41828700', ' 46014544']",[]
Om Sai Academy,"Plot No. A-21, 2nd Floor, Near Street No. 13, Main Road, Wazirabad Village, Dr. Mukherjee Nagar, Delhi, 110009",http://www.omsaiacademy.com/,"['9599016074', '9911450981']",['priyanshiritu786@gmail.com']
NICS Institute,"South Delhi Centre- 205, 2nd Floor, Masjid Moth, South Extension- 2, Delhi, 110049",http://nicspvtltd.com,"['9810405406', '011-26264176', ' 26261199']",['sanjaybhatanagar.nics@gmail.com']
Innovation Classes,"B-11, (Basement), Opposite Metro Pillar No. 611, Near Janak Puri (W) Metro Station, Shankar Garden, Vikaspuri, Delhi,",,"['8287754021', '011-32976811']",[]
Archo Classes,"D 30 Office Number 301 Siddharth Complex Third Floor, Laxmi Nagar, Delhi, 110092",http://www.archoclasses.com/,"['9899708406', '9911828406']",['info@archoclasses.com']
Sharpline Academy,"T-304, Shokeen Plaza, Plot No. 3, Sector 12, Dwarka, Delhi, 110075",http://www.sharplineacademy.com/,['9871346901'],[]
Bhardwaj Institute,"183 B, Pocket C, Mayur Vihar, Phase-2, Delhi, 110091",http://bhardwajclasses.com,"['9810036048', '011-22771285', ' 22774783']",['bhardwajclasses@gmail.com']
Harmonics Academy,"Head Office- #A-7, 1 Phase, Acharya Niketan Mayur Vihar, Mayur Vihar, Near Jammu Kashmir Bank, Delhi, 110091",http://www.harmonics.in/,"['9871716657', '9810580726', '011-22751870', ' 43095612']",[]
Sudarshan Classes,"F25/2, Madhu Vihar, Patparganj, Delhi, 110092",,['9810701368'],[]
SIIT JEE,"L-5, First Floor, Lajpat Nagar-II, Delhi, 110024",http://siit-jee.org,"['9936410745', '8127705733', '9568984620', '9810074878', '011-41646759', ' 2981276']",[]
Career Guru 4U,"NCR Head Office- D-239, IInd Floor, Vivek Vihar, East Delhi, Delhi,",http://careerguru4u.in,['8587902974'],[]
Knowledge Development Center,"East Delhi Centre- 112, First Floor, Nipun Tower, Community Centre, Karkardooma, Delhi, 110092",http://www.kdconline.in,['9810341516'],[]
Institute Of Creative Sciences,"H 1482, 1ST FLOOR, C.R PARK, Delhi, 110019",http://institute-of-creative-sciences.business.site/,['9818541252'],[]
Credible Professional Solutions,"Plot No. 117, Pocket B-5, Sector 4, Rohini, Delhi, 110085",http://www.thecps.co.in,"['9213557489', '8447871204', '9211648801', '011-23640239']",['info@thecps.co.in']
Star Education Centre,"No. 161/13, Batla House, Jamia Nagar, Delhi, 110025",http://www.thestareducation.com/,"['9891333993', '011-26988200']",[]
RAMANUJAN INSTITUTE,"Shop Number-k-5, Punjabi Bazar, Kotla Mubarakpur, Delhi, 110003",http://ramanujaninstitute.com/,"['9015042726', '9871220882']",[]
Kalabhumi Arts,"T1, T4, Third Floor, Manish Metro Plaza 6 , Plot no-5 Near BENSUPS HOSPITAL ,KM Chowk Sec-12 Dwarka-75., Delhi, 110078",http://www.kalabhumi.com/,"['9717414013', '9868214044', '011-45059376']","['kalabhumi@yahoo.com', 'kalabhumi786@gmail.com']"
Target Classes,"105, Laxman Plaza, Near Bank of Baroda, D-211, Munirka, Delhi, 110067",,"['9971619656', '9811737038']",[]
Pandey Institute of Physics,"B-23, Amar Colony, Lajpat Nagar- IV, Landmark Sahibzada Ajit Singh Gurudwara, Delhi, 110024",http://www.pandeyinstitute.com/,['9999306430'],['info@pandeyinstitute.com']
Marksman Classes,"48, Hasanpur, I.P. Extn., Delhi, 110092",http://marksmanclasses.com/overview.html,"['9811744029', '011-43094712']",[]
Teachwell Institute Pvt Ltd,"415, 4th Floor, Amba Tower, DC Chowk Complex, Sec-9, Rohini, Delhi, 110085",http://www.teachwell.co.in/,"['9015557890', '9891118733', '011–27860899']",[]
Expert Tutor,"Classic House, W-86, Greater Kailash IInd, Delhi, 110048",http://www.experttutor.in/index.html,['8880261616'],[]
AMSC Institute,"F-14/30, Sector 15, Rohini, Delhi, 110089",http://www.amscinstitute.com/,"['9999325573', '9350810324']",['contact@yourdomain.com']
Elite Academy,"A 260, Shastri Nagar, Delhi, 110052",,['9811373026'],['https://www.english-elite.com']
Pulse Academy,"540, Site-1, Nangafgarh road, Vikaspuri, Opposite metro pillar no.624, Delhi, 110018",,"['9718588886', '9208748512']",[]
Ipedia Academy,"T-29, Khirki Extension, Malviya Nagar (Near to Gatta Factory), Delhi, 110017",http://www.ipedia.in,"['9711284794', '7503790982', '9654728477', '011-26676629']",['ipediagroup@gmail.com']
Guru Dronacharya,"487/36, National Market,Peera Garhi, Paschim Vihar, Delhi, 110087",http://www.gurudronacharya.org/,['09999414290J'],['gurudronacharya2015@gmail.com']
MEC Institute,"B-51, L.G.F. , Amar Colony Lajpat Nagar-4, Delhi, 110024",http://www.mecinstitute.com/,['+91.9971161302'],['mecinstitutedelhi@gmail.com']
Alpha Plus Tutorials,"606-A, R.K. Puram, Delhi, 110022",,['8008414880'],[]
Parikshaguru,"28, Commercial Complex, Jia Sarai, Near IITD, Hauz Khas, Delhi, 110016",http://www.parikshaguru.com/Default.aspx,[' 26537537'],['marketing@parikshaguru.com']
The PMT Forum Academy,"A1/32, IInd Floor Opposite Metro, Pillar No. 624, Janakpuri, Delhi, 110058",,"['9990233370', '9560788198', '9953457618', '011-41036554']",['saketinstitute2016@gmail.com']
Chauhan Coaching Centre,"Head Office- Shop No. 9, First Floor, Opposite Sri Venkateswara College, Near Shiv Mandir, Satya Niketan, Delhi, 110021",http://www.chauhancoaching.in,"['9811211872', '9873377101']",[]
Sanjeev Dawar Classes,"5/19, Near to Patel Nagar Metro Station, East Patel Nagar, Delhi, 110008",,"['9811106019', '9873246019', '9212113307', '011-25881031']",[]
Originative Institute,"A-1/17, Uttam Nagar, East Metro Station, Near Aakash Book Palace, Janakpuri, Delhi, 110059",http://originativeinstitute.com,"['9555144449', '9968478399', '011-65296520']",[]
Gupta Tutorials,"H-25, Mezzanine Floor, Connaught Place, Delhi, 110001",,"['011-43045501', ' 43045502', ' 43045503']",[]
Sutra Classes,"254, Second Floor, Aggarwal Chamber, C.D. Block Pitampura, Delhi, 110085",www.sutraclasses.com,['9350928856'],['sutraclass@gmail.com']
Dwivedi Study Circle,"M-1, Mahavir Nagar, Janak Puri, East Metro Station (Pillar No. 557), Delhi,",http://www.dwivedistudycircle.com/,"['9911984242', '9899522121']",['dwivedistudycircle12@gmail.com']
Chinar Education Pvt Ltd,"C- 404, Main Ramphal Chowk Sector-7, Dwarka, Delhi, 110075",http://www.chinareducation.com/,"['9811224567', '011-25080777']",['info@chinareducation.com']
Knowledge Point,"DDA Flats (Main Market), Ramji Lal Complex, Kalkaji, Delhi, 110019",,"['011-26022608', ' 26022609']",['knowledgepoint2013@gmail.com']
Ambition Academy of Science,"63/3, Ghumman House, 3rd Floor, Kalu Sarai, Sarvapriya Vihar, Delhi, 110016",http://www.ambitionacademyofscience.com/,"['9818000329', '011-41010329']",['info@ambitionacademyofscience.com']
IIT Square,"G-12,SHYAM PARK,NEAR NAWADA METRO STATION GATE NO-1, UTTAM NAGAR,NEW , Delhi, 110059",https://www.facebook.com/iitsquare/,['9818818021'],[]
Impact Academy,"C-8, CSC-4/23, 12, DDA Market Opp. Gurudwara, Madhuban Chowk Sector -8, Rohini, Delhi, 110085",,"['9810838035', '9212028477']",[]
Power Coaching,"44-C, Kaloo Sarai, Delhi, 110016",http://powercoach.in/,['9911122435'],[]
The Modern Education,"Shop Number R 17., Main Road In Side Market., Patel Nagar West, Delhi, 110008",,"['8920290454', '8447019901']",[]
Best Tutorial,"G/59 Second Floor, Opposite Pillar No. 40, Vikas Marg, Laxmi Nagar, Delhi, 110092",http://www.besttutorials.in,"['8285100535', '8285100536', '011-43053728']",['contact@besttutorials.in']
R & R Study Point,"UG-3, Sagar Plaza- I, M2K Market, Pitampura, Delhi, 110034",http://www.rrstudypoint.com,"['9810112333', '9650112333', '011-27017333']",['info@rrstudypoint.com']
Education World,"75, Bharat Nagar, New Friends Colony, Delhi, 110025",,['9810048822'],[]
